iter	Passed	Remaining
0	92	27595
1	94	14008
2	95	9456
3	96	7170
4	98	5833
5	100	4944
6	102	4305
7	104	3824
8	105	3426
9	107	3110
10	109	2868
11	110	2656
12	113	2509
13	117	2392
14	120	2288
15	122	2169
16	124	2069
17	126	1983
18	129	1912
19	130	1831
20	133	1767
21	134	1698
22	136	1645
23	137	1586
24	139	1538
25	141	1488
26	143	1452
27	145	1409
28	148	1383
29	149	1346
30	152	1320
31	153	1288
32	158	1279
33	160	1254
34	161	1223
35	164	1203
36	165	1178
37	167	1156
38	169	1131
39	171	1113
40	173	1095
41	175	1077
42	176	1056
43	178	1038
44	179	1019
45	182	1006
46	183	989
47	186	980
48	188	963
49	189	947
50	191	933
51	192	918
52	194	905
53	195	890
54	196	876
55	198	864
56	199	850
57	201	839
58	202	827
59	203	815
60	204	803
61	206	791
62	207	780
63	209	772
64	210	762
65	212	752
66	213	744
67	215	734
68	216	726
69	218	717
70	219	709
71	225	713
72	226	704
73	233	713
74	234	704
75	236	696
76	238	691
77	240	685
78	249	696
79	250	688
80	253	684
81	254	677
82	257	672
83	259	667
84	261	662
85	267	665
86	280	687
87	283	683
88	287	681
89	292	681
90	298	685
91	304	689
92	311	692
93	316	692
94	327	706
95	331	704
96	341	714
97	347	716
98	355	721
99	371	742
100	374	737
101	376	731
102	378	724
103	384	724
104	394	732
105	402	736
106	410	740
107	420	747
108	422	741
109	425	734
110	428	728
111	429	721
112	431	714
113	437	713
114	440	708
115	445	706
116	457	716
117	460	709
118	463	705
119	464	697
120	467	691
121	468	684
122	470	677
123	472	670
124	475	665
125	477	658
126	479	653
127	482	648
128	484	642
129	487	638
130	492	635
131	495	630
132	498	625
133	501	621
134	510	624
135	518	624
136	521	620
137	532	625
138	534	619
139	537	613
140	539	608
141	547	608
142	551	605
143	557	603
144	561	599
145	575	607
146	580	603
147	583	599
148	585	593
149	587	587
150	588	580
151	589	573
152	592	568
153	593	562
154	595	557
155	597	551
156	599	546
157	601	540
158	609	540
159	612	535
160	614	530
161	620	528
162	624	525
163	633	525
164	636	520
165	643	519
166	645	513
167	648	509
168	681	528
169	684	523
170	685	517
171	687	511
172	689	506
173	691	500
174	692	494
175	703	495
176	715	497
177	735	504
178	737	498
179	739	493
180	740	487
181	744	482
182	746	476
183	751	473
184	759	471
185	760	466
186	763	461
187	766	456
188	768	451
189	770	446
190	782	446
191	795	447
192	799	443
193	801	438
194	803	432
195	815	432
196	822	430
197	844	434
198	849	431
199	862	431
200	866	426
201	880	427
202	892	426
203	894	421
204	897	415
205	899	410
206	901	404
207	902	399
208	905	394
209	907	388
210	909	383
211	920	381
212	927	378
213	931	374
214	933	368
215	935	363
216	939	359
217	940	353
218	943	348
219	947	344
220	951	340
221	953	334
222	962	332
223	964	327
224	966	322
225	968	317
226	970	311
227	971	306
228	974	302
229	977	297
230	982	293
231	986	289
232	989	284
233	991	279
234	994	275
235	996	270
236	1001	266
237	1005	262
238	1009	257
239	1013	253
240	1018	249
241	1022	245
242	1039	243
243	1061	243
244	1064	238
245	1066	234
246	1078	231
247	1081	226
248	1088	222
249	1090	218
250	1096	214
251	1098	209
252	1100	204
253	1106	200
254	1111	196
255	1113	191
256	1114	186
257	1116	181
258	1118	177
259	1120	172
260	1122	167
261	1124	163
262	1127	158
263	1130	154
264	1131	149
265	1137	145
266	1139	140
267	1142	136
268	1149	132
269	1150	127
270	1152	123
271	1156	119
272	1157	114
273	1159	110
274	1161	105
275	1163	101
276	1165	96
277	1168	92
278	1169	88
279	1170	83
280	1172	79
281	1173	74
282	1174	70
283	1175	66
284	1176	61
285	1178	57
286	1179	53
287	1182	49
288	1184	45
289	1185	40
290	1188	36
291	1191	32
292	1192	28
293	1194	24
294	1195	20
295	1196	16
296	1198	12
297	1200	8
298	1201	4
299	1202	0
